################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         42   0.0000000000000000E+00   6.5096271523073959E-04   6.7434319374501609E-05   1.2372268667421938E-04
         2         43   2.0905351903799997E-09   1.1618646423284672E-03   1.8154638895590125E-04   2.3392233659520555E-04
         2         44   0.0000000000000000E+00   6.6622222758911753E-04   9.8374205195264159E-05   1.1508390668074690E-04
         2         45   0.0000000000000000E+00   5.7735407448100380E-04   1.0221869371210351E-04   1.1787043197521810E-04
         2         46   3.9682138133295916E-05   5.4111164388527325E-03   1.1088341206863027E-03   1.0193302941250207E-03
         2         47   9.1500414898088912E-04   2.2788749289665303E-02   6.3969259021199407E-03   4.7325224938923891E-03
         2         48   3.3693869970867188E-06   4.4838544272958877E-03   9.7855617443294877E-04   1.0142370996162155E-03
         2         49   0.0000000000000000E+00   2.3989361976933595E-03   3.6603284811668975E-04   4.8974307537629261E-04
         2         50   1.5598774501191588E-04   5.0030044594972529E-03   1.5084490594670743E-03   1.0966659206973189E-03
         2         51   6.9207726693541391E-04   2.4145276025139436E-02   7.0290964922163626E-03   5.8096221634250517E-03
         2         52   1.7675323607349372E-05   1.3170928803314719E-02   2.6470467332492262E-03   3.0898785878578946E-03
         2         53   0.0000000000000000E+00   4.9408505006803835E-03   6.8115023207658098E-04   8.8347427628335099E-04
         2         54   3.8205794224598896E-04   1.1869447951427818E-02   3.5922040414248370E-03   2.7938603740417594E-03
         2         55   0.0000000000000000E+00   1.5254249466359160E-03   1.8787680615215248E-04   2.8596894984962489E-04
         2         56   0.0000000000000000E+00   1.2569778280300697E-03   1.4241006055024688E-04   2.0000888685955463E-04
         2         57   6.3782767631782997E-06   2.6285517863828909E-03   5.5784245179734185E-04   6.0318531688924011E-04
         2         58   0.0000000000000000E+00   1.4225316092682740E-03   2.8861516286928678E-04   3.0038178524486019E-04
         2         59   1.2990854381514049E-06   3.9736238728541604E-04   5.9407413326067805E-05   5.3550131797823090E-05
         2         60   4.8454102707227381E-05   1.2446992834728879E-03   3.4814568084652191E-04   1.8430008275101040E-04
         2         61   1.3592734353634444E-10   3.3103407543960136E-04   6.9818705403726901E-05   7.8757793920427194E-05
         2         62   0.0000000000000000E+00   1.5529584068159200E-04   1.4676675306459884E-05   2.5012342280951639E-05
         2         63   1.0003423945960755E-05   3.4953349088610457E-04   8.3899914391833766E-05   5.9324282992707626E-05
         2         64   1.2830891433079392E-09   1.1726115234953630E-03   4.7133483052316306E-04   2.7788648739406399E-04
         2         65   1.1857587537512351E-12   6.0202236108905657E-04   1.1619330757155383E-04   1.4256312062890160E-04
         2         66   1.5303819307593937E-07   6.7418676585861525E-04   1.7483313624925000E-04   1.3577093958958800E-04
         2         67   3.9110217670209976E-26   1.5103109958120140E-04   1.6914768291234530E-05   2.7286656810163165E-05
         2         68   3.2599051813667106E-06   2.0345247356476168E-03   4.6986138067590586E-04   4.1736710930557629E-04
         2         69   3.0124737029181141E-04   7.7664493785156736E-03   2.5808124896127189E-03   1.6293526882290113E-03
         2         70   1.2918247827421073E-06   1.4341469147438740E-03   3.2218201900743361E-04   3.2411286815246679E-04
         2         71   0.0000000000000000E+00   1.0165431842027732E-03   1.5437716082156128E-04   1.9402786972483340E-04
         2         72   1.8747508667572451E-05   1.5244326266182491E-03   4.8030580198946121E-04   3.4314709379393353E-04
         2         73   4.3674036337109533E-04   9.3035599109374846E-03   3.2774958226157867E-03   2.0852501787080239E-03
         2         74   1.3390587059375784E-05   4.3917018617311903E-03   9.9178230610304577E-04   1.0294041163714943E-03
         2         75   0.0000000000000000E+00   1.7461174839583891E-03   2.6815532221286930E-04   3.1933071742590367E-04
         2         76   1.6697021116854116E-04   4.6010049062364371E-03   1.3839459037945482E-03   9.4325689570019160E-04
         2         77   0.0000000000000000E+00   5.5634001552743047E-04   7.5342011570821231E-05   1.0055209667976053E-04
         2         78   0.0000000000000000E+00   5.0525876624155086E-04   5.4566966084169848E-05   7.5816677020405348E-05
         2         79   4.6232743956199049E-07   1.1630123942097800E-03   2.6154142558954723E-04   2.4047220591297554E-04
